child_term_id,parent_term_id,pattern_count,from_head_heuristic,llm_label,llm_confidence,confidence,created_at,updated_at
1736,752,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1021,788,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2186,67,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1165,15,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
804,54,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
723,722,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1184,275,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
141,366,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
345,114,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
302,54,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
595,307,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2234,2215,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1829,836,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1370,1225,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
989,54,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
273,274,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
858,110,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1651,829,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1463,202,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1104,678,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
88,67,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
885,82,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
381,54,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1916,840,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
947,75,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1818,695,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
210,172,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1668,82,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
915,766,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2210,2122,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1836,322,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
731,716,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
517,756,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
