id,child_canonical_id,child_canonical_term,parent_canonical_id,parent_canonical_term,score,method,doc_id,sent_id,evidence_text
499,1174,busy statu,766,statu,1.0,head,,,
500,1176,mark load index,1522,index,1.0,head,,,
501,1177,host statu,766,statu,1.0,head,,,
502,1181,host time,39,time,1.0,head,,,
503,1183,other useful command,293,command,1.0,head,,,
504,1184,bparam command,293,command,1.0,head,,,
505,1186,bhist command,293,command,1.0,head,,,
506,1187,historical information,8,information,1.0,head,,,
507,1188,badmin ckconfig command,293,command,1.0,head,,,
508,1192,system configuration,73,configuration,1.0,head,,,
509,1199,bhost command,293,command,1.0,head,,,
510,1201,other detail,516,detail,1.0,head,,,
511,1202,batch host,80,host,1.0,head,,,
512,1203,maximum number,108,number,1.0,head,,,
513,1205,single user,66,user,1.0,head,,,
514,1206,total number,108,number,1.0,head,,,
515,1214,following message,111,message,1.0,head,,,
516,1215,daemon time,39,time,1.0,head,,,
517,1216,batch system daemon,79,daemon,1.0,head,,,
518,1218,different priority,1226,priority,1.0,head,,,
519,1219,different scheduling policy,349,policy,1.0,head,,,
520,1220,dispatch job,3,job,1.0,head,,,
521,1229,detailed queue information,8,information,1.0,head,,,
522,1231,normal low priority job,3,job,1.0,head,,,
523,1232,default queue,735,queue,1.0,head,,,
524,1240,resource usage limit,126,limit,1.0,head,,,
525,1243,bparams command,293,command,1.0,head,,,
526,1245,basic command,293,command,1.0,head,,,
527,1247,good available host,80,host,1.0,head,,,
528,1248,current system load information,8,information,1.0,head,,,
529,1250,executable application,799,application,1.0,head,,,
530,1251,execution script,189,script,1.0,head,,,
531,1252,submit batch job,3,job,1.0,head,,,
532,1254,display job statu,766,statu,1.0,head,,,
533,1255,job id,1493,id,1.0,head,,,
534,1256,other information,8,information,1.0,head,,,
535,1257,use lsf command,293,command,1.0,head,,,
536,1260,current local host,80,host,1.0,head,,,
537,1262,appropriate host type,204,type,1.0,head,,,
538,1263,lsgrun command,293,command,1.0,head,,,
539,1264,complete job,3,job,1.0,head,,,
540,1265,submission option,155,option,1.0,head,,,
541,1267,sleep job,3,job,1.0,head,,,
542,1268,unique job id,1493,id,1.0,head,,,
543,1270,job option,155,option,1.0,head,,,
544,1271,job command sleep,1290,sleep,1.0,head,,,
545,1272,short sleep,1290,sleep,1.0,head,,,
546,1274,job report,18,report,1.0,head,,,
547,1275,standard output,234,output,1.0,head,,,
548,1276,standard error,280,error,1.0,head,,,
549,1278,home directory,399,directory,1.0,head,,,
550,1282,find job output,234,output,1.0,head,,,
551,1284,batch interactive job,3,job,1.0,head,,,
552,1285,shell mode support,450,support,1.0,head,,,
553,1288,user1 run normal hosta hostb,1318,hostb,1.0,head,,,
554,1293,bstop command,293,command,1.0,head,,,
555,1294,bjob command,293,command,1.0,head,,,
556,1296,user1 ususp normal hosta hostb,1318,hostb,1.0,head,,,
557,1297,job owner,1225,owner,1.0,head,,,
558,1298,own job,3,job,1.0,head,,,
559,1299,bresume command,293,command,1.0,head,,,
560,1301,specified job,3,job,1.0,head,,,
561,1302,necessary resource,809,resource,1.0,head,,,
562,1303,root lsf,706,lsf,1.0,head,,,
563,1306,lsfadmin lsf,706,lsf,1.0,head,,,
564,1308,hostname command,293,command,1.0,head,,,
