term_id,tf,df,idf,tf_idf,updated_at
287,4.0,2,1.5108256237659907,6.043302495063963,2025-11-30T20:56:51Z
288,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
289,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
290,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
291,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
292,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
293,55.0,3,1.2231435513142097,67.27289532228153,2025-11-30T20:56:51Z
294,3.0,1,1.916290731874155,5.748872195622465,2025-11-30T20:56:51Z
295,3.0,1,1.916290731874155,5.748872195622465,2025-11-30T20:56:51Z
296,4.0,1,1.916290731874155,7.66516292749662,2025-11-30T20:56:51Z
297,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
298,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
299,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
300,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
301,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
302,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
303,11.0,2,1.5108256237659907,16.619081861425897,2025-11-30T20:56:51Z
304,4.0,2,1.5108256237659907,6.043302495063963,2025-11-30T20:56:51Z
305,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
306,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
307,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
308,2.0,2,1.5108256237659907,3.0216512475319814,2025-11-30T20:56:51Z
309,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
310,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
311,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
312,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
313,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
314,2.0,2,1.5108256237659907,3.0216512475319814,2025-11-30T20:56:51Z
315,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
316,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
317,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
318,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
319,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
320,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
321,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
322,7.0,2,1.5108256237659907,10.575779366361935,2025-11-30T20:56:51Z
323,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
324,3.0,1,1.916290731874155,5.748872195622465,2025-11-30T20:56:51Z
325,3.0,1,1.916290731874155,5.748872195622465,2025-11-30T20:56:51Z
326,12.0,3,1.2231435513142097,14.677722615770517,2025-11-30T20:56:51Z
327,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
328,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
329,7.0,1,1.916290731874155,13.414035123119085,2025-11-30T20:56:51Z
330,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
331,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
332,3.0,1,1.916290731874155,5.748872195622465,2025-11-30T20:56:51Z
333,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
334,2.0,2,1.5108256237659907,3.0216512475319814,2025-11-30T20:56:51Z
335,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
336,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
