term_id,doc_id,sent_idx,token_start,token_end,cleaned_version
375,doc_026b,25,11,11,1
141,doc_026b,27,0,2,1
376,doc_026b,27,5,7,1
250,doc_026b,27,9,10,1
371,doc_026b,28,0,1,1
281,doc_026b,28,3,5,1
377,doc_026b,32,2,4,1
378,doc_026b,33,1,2,1
141,doc_026b,34,1,3,1
379,doc_026b,35,0,0,1
380,doc_026b,35,2,4,1
141,doc_026b,36,1,3,1
381,doc_026b,36,9,11,1
276,doc_026b,37,6,7,1
382,doc_026b,37,9,9,1
383,doc_026b,37,11,12,1
384,doc_026b,39,1,1,1
380,doc_026b,39,4,6,1
141,doc_026b,39,8,10,1
385,doc_026b,39,12,14,1
379,doc_026b,40,0,0,1
380,doc_026b,40,2,4,1
30,doc_026b,41,0,0,1
386,doc_026b,41,2,2,1
83,doc_026b,42,0,0,1
141,doc_026b,43,1,3,1
381,doc_026b,43,9,11,1
27,doc_026b,44,9,9,1
387,doc_026b,44,12,12,1
388,doc_026b,44,15,17,1
389,doc_026b,45,0,1,1
141,doc_026b,46,1,3,1
11,doc_026b,46,5,6,1
390,doc_026b,46,16,17,1
391,doc_026b,46,19,20,1
30,doc_026b,46,29,29,1
392,doc_026b,48,0,0,1
393,doc_026b,50,0,1,1
394,doc_026b,51,0,3,1
395,doc_026b,52,2,2,1
349,doc_026b,52,4,4,1
395,doc_026b,53,8,8,1
349,doc_026b,53,10,10,1
396,doc_026b,53,13,13,1
397,doc_026b,54,0,2,1
398,doc_026b,55,1,2,1
399,doc_026b,55,4,5,1
40,doc_026b,56,1,1,1
400,doc_026b,56,3,5,1
401,doc_026b,56,7,9,1
402,doc_026b,58,0,2,1
225,doc_026b,59,6,7,1
146,doc_026b,59,9,10,1
141,doc_026b,59,13,15,1
403,doc_026b,59,17,17,1
404,doc_026b,61,1,3,1
398,doc_026b,61,5,6,1
135,doc_026b,61,8,8,1
108,doc_026b,62,1,1,1
405,doc_026b,63,0,0,1
276,doc_026b,64,0,1,1
382,doc_026b,64,3,3,1
383,doc_026b,64,5,6,1
325,doc_026b,66,0,0,1
30,doc_026b,67,0,0,1
212,doc_026b,68,2,4,1
406,doc_026b,68,6,6,1
42,doc_026b,68,9,9,1
135,doc_026b,68,18,18,1
225,doc_026b,69,0,0,1
135,doc_026b,69,2,2,1
269,doc_026b,69,4,5,1
225,doc_026b,70,1,1,1
407,doc_026b,70,3,3,1
408,doc_026b,70,6,8,1
409,doc_026b,71,0,2,1
410,doc_026b,72,0,0,1
135,doc_026b,72,9,9,1
74,doc_026b,73,0,1,1
411,doc_026b,74,2,4,1
412,doc_026b,74,6,6,1
146,doc_026b,75,9,10,1
413,doc_026b,76,3,5,1
414,doc_026b,76,7,9,1
415,doc_026b,77,0,2,1
268,doc_026b,77,6,7,1
47,doc_026b,78,0,0,1
416,doc_026b,78,11,13,1
417,doc_026b,78,15,15,1
418,doc_026b,78,17,18,1
375,doc_026b,79,8,8,1
375,doc_026b,81,9,10,1
93,doc_026b,82,6,7,1
419,doc_026b,82,9,9,1
420,doc_026b,83,0,2,1
95,doc_026b,83,4,5,1
384,doc_026b,83,8,8,1
325,doc_0381,1,6,6,1
421,doc_0381,2,0,4,1
422,doc_0381,2,0,4,1
325,doc_0381,2,11,11,1
423,doc_0381,2,14,15,1
424,doc_0381,3,0,1,1
425,doc_0381,3,3,4,1
74,doc_0381,4,0,0,1
426,doc_0381,4,6,7,1
427,doc_0381,4,9,10,1
428,doc_0381,6,0,2,1
429,doc_0381,6,9,10,1
430,doc_0381,6,12,14,1
431,doc_0381,7,1,2,1
265,doc_0381,7,9,9,1
432,doc_0381,7,11,12,1
168,doc_0381,7,14,15,1
11,doc_0381,7,39,39,1
433,doc_0381,8,12,14,1
434,doc_0381,9,8,10,1
17,doc_0381,9,12,12,1
435,doc_0381,10,1,3,1
431,doc_0381,10,6,7,1
436,doc_0381,11,2,3,1
135,doc_0381,12,1,2,1
